product_id,name,ingredients,description,tag,price
swaddle-muslin,Organic Muslin Swaddle Set,100% GOTS Organic Cotton,"Ultra-soft GOTS-certified organic cotton muslin. Breathable, pre-washed, and gets softer with every wash. Set of 2.",Bestseller,28
swaddle-bamboo,Bamboo Stretch Swaddle,"70% Bamboo, 30% Organic Cotton","Silky bamboo blend with 4-way stretch for a perfect snug wrap every time. Temperature-regulating and hypoallergenic.",Silky Soft,32
swaddle-knit,Heirloom Knit Blanket,100% Organic Merino Wool,"Hand-finished open-weave knit blanket. Warm yet breathable, beautiful enough to frame. A keepsake for a lifetime.",Heirloom,45
swaddle-waffle,Waffle Knit Receiving Blanket,100% Pima Cotton,"Textured waffle knit in cloud-soft pima cotton. Lightweight warmth that layers beautifully. Perfect year-round.",Year Round,34
swaddle-quilted,Quilted Linen Blanket,"100% French Linen, Organic Cotton Fill","French linen quilted with organic cotton fill. Gets better with age — a true heirloom piece for generations.",Linen,52
swaddle-velvet,Velvet Bonding Wrap,"80% Polyester Velvet, 20% Spandex","Ultra-plush micro-velvet wrap perfect for skin-to-skin. Stretchy, washable, and impossibly cozy.",Skin-to-Skin,38
garment-gown,Organic Knotted Gown,100% GOTS Organic Cotton,"The midnight diaper-change hero. Expandable knotted bottom for easy access. Incredibly soft GOTS-certified cotton.",Mom Approved,34
garment-kimono,Bamboo Kimono Set,"95% Bamboo, 5% Spandex","Side-snap closure makes dressing a newborn effortless. Included matching hat. Thermoregulating bamboo blend.",Gift Favorite,38
garment-romper,Ribbed Organic Romper,100% Undyed Organic Cotton,"Minimalist ribbed romper in natural undyed cotton. No dyes, no chemicals — just pure softness against newborn skin.",Pure & Natural,30
garment-sleeper,Footed Zip Sleeper,100% GOTS Organic Cotton,"Two-way zip for easy midnight changes. Snug fit with fold-over cuffs. Certified safe dyes on GOTS cotton.",Nighttime Hero,36
garment-bodysuit,Essential Organic Bodysuit Set,100% Organic Cotton,"A set of three in soft undyed cotton. Envelope neckline, nickel-free snaps. The wardrobe foundation every baby needs.",Set of 3,42
garment-cardigan,Hand-Knit Merino Cardigan,Superfine Merino Wool,"Delicate hand-knit in superfine merino. Timeless silhouette with wooden buttons. Sized to layer and last.",Hand Knit,58
bath-botanical,Botanical Baby Wash Duo,"Chamomile, Calendula, Aloe Vera","Chamomile & calendula wash and lotion. Dermatologist tested, fragrance-free, safe from day one. Packaged in glass.",Dermatologist Tested,36
bath-shea,Organic Shea Butter Set,"Shea Butter, Coconut Oil, Vitamin E","Raw African shea butter whipped with coconut oil. Zero synthetics. Rich moisture for eczema-prone and sensitive skin.",Eczema Safe,32
bath-calendula,Calendula Bath Soak Kit,"Calendula, Colloidal Oat, Lavender","Dried calendula petals, oat powder, and lavender for a calming first bath ritual. Comes with a mesh soak bag.",Bath Ritual,28
bath-oil,Nourishing Baby Oil Serum,"Jojoba, Sweet Almond, Rosehip","Lightweight blend of jojoba, sweet almond, and rosehip. Absorbs instantly. Locks in moisture after every bath.",Lightweight,26
bath-towel,Organic Hooded Towel Set,100% Organic Cotton Terry,"Plush double-layered organic cotton. Generous size that grows with baby. Includes matching washcloth.",Plush,38
keepsake-rattle,Handcrafted Wooden Rattle,Sustainably Sourced Maple Wood,"Turned from sustainably sourced maple wood. Smooth, natural finish — no paint, no varnish. Safe from birth.",Artisan Made,24
keepsake-bunny,Organic Cotton Bunny,"100% Organic Cotton, Hypoallergenic Fill","Hand-sewn in certified organic cotton. Weighted for easy gripping, soft enough to be a first best friend.",Handmade,28
keepsake-blocks,Engraved Name Block Set,"Maple Wood, Beeswax Finish","Solid maple blocks hand-engraved with baby's name. Finished with beeswax. A display-worthy gift for the nursery.",Personalized,48
keepsake-print,Fingerprint Keepsake Kit,"Archival Ink, Linen Card, Maple Frame","Archival ink pad and linen card for capturing tiny prints. Includes a gilt-edged frame ready to hang.",First Memory,32
keepsake-night-light,Moon Night Light,"Sustainable Beech Wood, LED","Warm amber glow, rechargeable, dimmable. Carved from sustainable beech. A nursery heirloom that soothes.",Nursery Essential,56
mom-lavender,Lavender Self-Care Kit,"French Lavender, Organic Beeswax, Shea","French lavender bath soak, organic lip balm, and a beeswax candle. For the mama who deserves a moment to herself.",For Mama,38
mom-tea,Artisan Loose Leaf Tea Collection,Certified Organic Herbs & Botanicals,"4 organic blends: lactation support, postpartum calm, energy boost, and chamomile sleep. Beautifully tin-packaged.",Lactation Support,26
mom-herbal,Organic Postpartum Bundle,"Witch Hazel, Magnesium, Calendula","Healing perineal herbal sitz bath herbs, magnesium body butter, and a nourishing belly balm. Recovery, elevated.",Recovery,42
mom-journal,Linen Baby Memory Journal,"Linen, Acid-Free Paper","Stone-washed linen cover, gilded pages. Guided prompts for first-year milestones. A letter to the future.",Keepsake,34
mom-silk,Silk Nursing Scarf,100% Mulberry Silk,"Mulberry silk in a soft blush. Doubles as a nursing cover and elegant wrap. Machine washable, wrinkle-resistant.",Mulberry Silk,46
